gender,year_of_study,course_name,students_resident,challenge_storing_goods?,challenge,current_method_of_storage,renting_a_unit,ask_friends/family,carry_home,Other_method_of_storage?,type _of_belongings,clothing,study_materials,electronics,utensils,furniture,Other_belongings,duration_of_storage ,how_important_is_security,How_comfortable_using_online_platform,prefererence_of_ booking,preferred_method_of_payment,preferred_mode_of_communication,additional_feature_for_platform
Male,3,GEGIS,Outside the school,Yes,It's always a problem transporting my belongings so I prefer leaving them at a friend's house.,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,  In-app messages,Customer service
Male,4,Bsc computer science,Outside the school,No,,Other,0,0,0,1,Electronics Utensils Furniture,0,0,1,1,1,0,More than 8 weeks,Important,Neutral,In person at the storage facility,M-pesa,  In-app messages,
Female,4,Mcs,Outside the school,No,,Renting a storage unit,1,0,0,0,Utensils Furniture,0,0,0,1,1,0,1-2 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,
Male,5,Architecture,Outside the school,No,,Ask friends/family,0,1,0,0,Furniture,0,0,0,0,1,0,7-8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,
Male,4,mechatronics,Outside the school,Yes,bedbug infestation,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,
Female,4,BSc. Mathematics and computer science,Outside the school,Yes,Stolen property,Renting a storage unit,1,0,0,0,Electronics,0,0,1,0,0,0,More than 8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,SMS,
Male,2,Information technology,Outside the school,Yes,It was expensive,Carry them home,0,0,1,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,5-6 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,N.a
Male,4,MCS,Outside the school,No,,Other,0,0,0,1,Other,0,0,0,0,0,1,More than 8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,live stream of items stored
Female,4,MCS,Outside the school,No,,Other,0,0,0,1,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,"No, not really."
Male,4,Mathematics and Computer Science,Outside the school,No,,Renting a storage unit Ask friends/family,1,1,0,0,Study materials Electronics Utensils Furniture,0,1,1,1,1,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,n/a
Female,1,Applied Biology,Outside the school,Yes,Lack of a safe space to leave my belongings,Carry them home,0,0,1,0,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,More than 8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,  In-app messages,
Male,4,BSc Mathematics & Computer Science,Outside the school,No,,Ask friends/family,0,1,0,0,Electronics,0,0,1,0,0,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,None
Male,4,BPMD,Outside the school,No,,Renting a storage unit Ask friends/family,1,1,0,0,Study materials Utensils Furniture,0,1,0,1,1,0,3-4 weeks,Very important,Comfortable,Online through the webapp,Cash,SMS,
Female,4,Bsc Actuarial science,Outside the school,Yes,Theft of property,Carry them home,0,0,1,0,Furniture,0,0,0,0,1,0,7-8 weeks,Very important,Neutral,Online through the webapp,Cash,SMS,None
Male,3,Bsc in Statistics,Outside the school,No,,Renting a storage unit,1,0,0,0,Study materials Electronics Furniture,0,1,1,0,1,0,More than 8 weeks,Very important,Uncomfortable,In person at the storage facility,Cash,SMS,None
Female,2,Project planning management,Outside the school,No,,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,7-8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,SMS,
Male,4,Bsc Physical Sciences,School hostels,Yes,Lack of trusted storage facilities,Ask friends/family,0,1,0,0,Clothing Study materials,1,1,0,0,0,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,None
Female,3,Mcs,Outside the school,Yes,Storing my belongings,Ask friends/family Carry them home,0,1,1,0,Clothing Study materials Utensils Furniture,1,1,0,1,1,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,
Female,4,Bsc. Mathematics and Computer Science,Outside the school,No,,Carry them home Other,0,0,1,1,Electronics Furniture,0,0,1,0,1,0,7-8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,  In-app messages,None i can think of
Male,3,Actuarial Science,Outside the school,Yes,High rent fees during holidays.,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,Other,  In-app messages,Just the idea implementation
Female,4,Project Management,Outside the school,No,,Renting a storage unit,1,0,0,0,Clothing Study materials,1,1,0,0,0,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,
